kohde;jasen;pvknro;sp;ASALUE;IKAL1;A1;A2;A3;A4;A5
51401;1;1;1;3.0;62;610;465;40;120;2.0
51403;2;1;1;1.0;38;0;?;0;0;2.0
51403;2;2;1;1.0;38;0;460;62;96;2.0
51404;1;1;2;1.0;44;450;490;10;0;1.0
51404;1;2;2;1.0;44;0;490;0;0;1.0
51406;2;1;1;1.0;26;450;450;0;0;1.0
51406;2;2;1;1.0;26;0;620;0;0;1.0
51408;2;1;2;3.0;42;0;725;0;?;1.0
51408;2;2;2;3.0;42;0;705;0;96;1.0
51409;1;1;2;1.0;28;00:00;05:00;00:50;01:20;1.0
51409;1;2;2;1.0;28;00:00;11:00;00:00;02:00;1.0
51418;1;1;1;3.0;64;0;555;0;0;1.0
51418;1;2;1;3.0;64;0;475;0;0;1.0
51419;2;1;1;3.0;50;0;435;10;0;1.0
51419;2;2;1;3.0;50;0;485;31;0;1.0
51424;1;1;1;1.0;61;0;560;0;0;1.0
51424;1;2;1;1.0;61;510;390;21;144;1.0
51425;2;1;2;3.0;53;370;585;20;80;1.0
51425;2;2;2;3.0;53;200;555;21;0;1.0
51431;1;1;2;1.0;54;520;490;0;100;1.0
51431;1;2;2;1.0;54;0;420;0;0;1.0
51437;1;1;2;1.0;46;0;900;0;0;1.0
51437;1;2;2;1.0;46;460;530;21;0;1.0
51442;1;1;2;3.0;36;310;405;40;0;?
51442;1;2;2;3.0;36;400;395;41;0;1.0
51456;1;1;1;1.0;25;09:10;06:10;00:10;00:00;?
51456;1;2;1;1.0;25;07:30;08:30;00:00;02:00;?
51457;1;1;2;1.0;69;0;510;100;0;1.0
51457;1;2;2;1.0;69;0;580;103;0;1.0
51462;1;1;2;2.0;49;400;620;0;0;2.0
51462;1;2;2;2.0;49;540;520;0;108;2.0
51463;2;1;2;1.0;41;0;510;60;80;1.0
51463;2;2;2;1.0;41;0;490;21;0;1.0
51464;1;1;1;1.0;24;0;660;?;0;1.0
51464;1;2;1;1.0;24;240;470;0;132;1.0
51466;2;1;2;1.0;31;460;470;50;?;1.0
51466;2;2;2;1.0;31;0;690;62;144;1.0
51471;1;1;2;1.0;32;390;450;0;0;1.0
51471;1;2;2;1.0;32;0;610;0;120;1.0
51484;1;1;2;1.0;31;390;500;0;0;1.0
51484;1;2;2;1.0;31;0;360;0;168;1.0
51487;2;1;2;1.0;39;0;590;0;120;?
51487;2;2;2;1.0;39;0;520;0;120;?
51494;2;1;2;1.0;44;0;640;0;100;2.0
51494;2;2;2;1.0;44;450;270;10;108;2.0
51498;1;1;2;1.0;53;0;600;250;90;1.0
51498;1;2;2;1.0;53;0;670;268;?;1.0
51502;2;1;2;1.0;53;0;570;90;0;2.0
51502;2;2;2;1.0;53;0;510;93;0;2.0
51507;1;1;1;1.0;37;0;580;30;0;1.0
51507;1;2;1;1.0;37;0;430;31;156;1.0
51508;1;1;2;3.0;61;04:50;08:15;01:00;00:00;2.0
51508;1;2;2;3.0;61;00:00;09:15;01:02;00:00;2.0
51519;1;1;1;1.0;44;360;570;0;0;1.0
51519;1;2;1;1.0;44;0;510;103;96;1.0
51524;1;1;1;1.0;47;0;590;130;0;1.0
51524;1;2;1;1.0;47;0;560;41;0;1.0
51539;2;1;1;3.0;37;490;365;20;0;1.0
51539;2;2;1;3.0;37;0;645;0;180;1.0
51549;1;1;2;1.0;73;0;540;120;120;1.0
51549;1;2;2;1.0;73;0;490;41;144;1.0
51551;2;1;2;3.0;21;00:00;10:15;01:20;01:30;1.0
51551;2;2;2;3.0;21;00:00;08:45;01:12;00:00;1.0
51553;2;1;2;1.0;43;10;700;90;80;1.0
51553;2;2;2;1.0;43;0;570;0;84;1.0
51557;1;1;1;3.0;49;490;495;40;0;1.0
51557;1;2;1;3.0;49;40;605;62;0;1.0
51566;1;1;1;2.0;47;0;540;0;0;1.0
51566;1;2;1;2.0;47;490;430;0;0;1.0
51578;1;1;1;2.0;48;480;470;50;0;1.0
51578;1;2;1;2.0;48;0;560;52;108;1.0
51581;1;1;2;1.0;80;0;490;40;0;1.0
51581;1;2;2;1.0;80;0;480;93;0;1.0
51586;1;1;2;3.0;30;450;505;0;90;2.0
51586;1;2;2;3.0;30;0;715;0;0;2.0
51590;1;1;2;1.0;29;30;650;30;0;2.0
51590;1;2;2;1.0;29;0;600;0;0;2.0
51592;1;1;1;1.0;29;0;660;0;0;1.0
51592;1;2;1;1.0;29;0;710;0;96;1.0
51599;1;1;1;3.0;61;490;485;40;120;1.0
51599;1;2;1;3.0;61;0;585;52;0;1.0
51601;1;1;2;1.0;54;30;530;10;110;1.0
51601;1;2;2;1.0;54;510;510;0;0;1.0
51605;1;1;2;1.0;53;0;530;0;60;1.0
51605;1;2;2;1.0;53;0;490;0;0;1.0
51607;1;1;1;1.0;78;0;650;0;140;0.0
51607;1;2;1;1.0;78;0;570;52;0;0.0
51610;1;1;1;1.0;36;0;510;0;0;2.0
51610;1;2;1;1.0;36;0;550;0;0;2.0
51612;1;1;2;1.0;60;0;500;110;80;?
51612;1;2;2;1.0;60;0;520;144;0;?
51617;1;1;2;3.0;63;0;595;40;0;1.0
51617;1;2;2;3.0;63;0;525;31;0;1.0
51619;1;1;1;1.0;72;0;510;0;0;2.0
51619;1;2;1;1.0;72;0;520;0;0;2.0
51626;1;1;1;1.0;79;30;490;0;110;2.0
51627;1;1;2;3.0;62;0;515;90;0;1.0
51627;1;2;2;3.0;62;0;615;103;0;1.0
51638;1;1;2;3.0;65;00:00;09:55;00:00;00:00;2.0
51638;1;2;2;3.0;65;00:00;08:05;00:00;02:24;2.0
51639;1;1;1;1.0;39;0;590;0;0;1.0
51639;1;2;1;1.0;39;520;470;41;108;1.0
51644;1;1;2;3.0;55;0;665;30;90;2.0
51644;1;2;2;3.0;55;0;565;0;0;2.0
51645;2;1;2;1.0;25;00:00;07:50;00:20;02:40;1.0
51645;2;2;2;1.0;25;00:00;08:30;01:02;00:00;1.0
51646;2;1;2;3.0;25;0;525;0;100;1.0
51646;2;2;2;3.0;25;520;525;0;0;1.0
51663;1;1;1;1.0;64;0;530;30;120;2.0
51663;1;2;1;1.0;64;0;570;21;144;2.0
51667;1;1;2;2.0;44;460;470;0;?;1.0
51667;1;2;2;2.0;44;0;470;0;132;1.0
51670;2;1;2;2.0;40;0;510;0;140;1.0
51670;2;2;2;2.0;40;470;470;72;108;1.0
51673;2;1;1;2.0;38;450;390;10;0;2.0
51673;2;2;1;2.0;38;360;510;0;0;2.0
51674;1;1;1;1.0;28;08:40;08:20;00:20;01:10;1.0
51674;1;2;1;1.0;28;09:00;06:40;00:00;00:00;1.0
51675;1;1;1;1.0;54;0;470;50;0;1.0
51675;1;2;1;1.0;54;720;470;10;108;1.0
51685;2;1;2;1.0;34;480;590;10;0;1.0
51685;2;2;2;1.0;34;440;480;0;0;1.0
51689;1;1;2;2.0;37;340;490;0;80;1.0
51697;1;1;2;1.0;21;00:00;12:30;00:10;02:00;1.0
51697;1;2;2;1.0;21;07:30;08:10;00:00;01:24;1.0
51699;2;1;1;1.0;39;750;350;10;0;1.0
51699;2;2;1;1.0;39;0;420;52;0;1.0
51702;2;1;2;1.0;55;0;480;50;110;1.0
51702;2;2;2;1.0;55;0;430;154;0;1.0
51710;2;1;2;1.0;83;0;750;30;90;?
51710;2;2;2;1.0;83;0;420;31;0;?
51717;2;1;1;3.0;48;600;505;0;0;1.0
51717;2;2;1;3.0;48;200;485;0;0;1.0
51726;2;1;1;1.0;38;0;680;30;180;?
51726;2;2;1;1.0;38;500;540;62;96;?
51729;1;1;1;3.0;52;10:00;07:15;01:30;00:00;1.0
51729;1;2;1;3.0;52;06:40;07:05;02:55;01:48;1.0
51732;1;1;1;1.0;66;0;640;30;0;2.0
51732;1;2;1;1.0;66;0;590;93;0;2.0
51735;2;1;2;1.0;65;0;570;60;90;?
51735;2;2;2;1.0;65;0;550;0;0;?
51737;2;1;2;3.0;31;470;475;50;0;1.0
51737;2;2;2;3.0;31;0;715;21;0;1.0
51740;1;1;2;1.0;36;0;560;20;150;2.0
51740;1;2;2;1.0;36;0;580;21;180;2.0
51741;1;1;2;1.0;57;0;530;170;80;1.0
51741;1;2;2;1.0;57;0;610;62;84;1.0
51742;2;1;1;1.0;48;0;670;0;0;1.0
51742;2;2;1;1.0;48;540;440;0;96;1.0
51746;1;1;1;1.0;52;0;410;150;140;1.0
51746;1;2;1;1.0;52;0;560;113;132;1.0
51750;1;1;1;1.0;82;0;550;0;0;1.0
51750;1;2;1;1.0;82;60;460;412;0;1.0
51751;2;1;2;1.0;57;0;480;50;100;1.0
51751;2;2;2;1.0;57;0;520;21;132;1.0
51754;1;1;2;1.0;41;0;680;0;130;1.0
51754;1;2;2;1.0;41;450;400;41;132;1.0
51771;1;1;2;1.0;55;0;560;0;0;1.0
51771;1;2;2;1.0;55;0;510;124;0;1.0
51785;1;1;1;1.0;57;0;480;0;130;2.0
51785;1;2;1;1.0;57;0;540;62;108;2.0
51788;1;1;2;1.0;42;0;530;0;0;2.0
51788;1;2;2;1.0;42;490;470;0;108;2.0
51790;2;1;1;1.0;26;650;470;0;0;1.0
51790;2;2;1;1.0;26;0;680;0;108;1.0
51803;1;1;2;1.0;39;00:00;09:20;02:50;00:00;1.0
51803;1;2;2;1.0;39;00:00;09:20;01:43;02:12;1.0
51804;2;1;1;1.0;64;480;500;20;0;1.0
51804;2;2;1;1.0;64;0;480;0;216;1.0
51807;2;1;2;3.0;44;730;305;0;100;1.0
51807;2;2;2;3.0;44;?;445;0;96;1.0
51814;1;1;1;1.0;28;0;480;0;0;0.0
51814;1;2;1;1.0;28;0;580;0;?;0.0
51819;2;1;2;1.0;73;0;570;70;0;2.0
51819;2;2;2;1.0;73;0;520;41;0;2.0
51822;2;1;2;2.0;82;0;570;80;120;1.0
51822;2;2;2;2.0;82;0;550;93;0;1.0
51824;1;1;2;2.0;64;580;430;10;0;1.0
51824;1;2;2;2.0;64;0;540;82;0;1.0
51831;2;1;2;1.0;28;430;560;10;90;1.0
51831;2;2;2;1.0;28;0;610;10;0;1.0
51832;1;1;2;2.0;48;620;380;0;100;2.0
51832;1;2;2;2.0;48;300;520;0;84;2.0
51846;1;1;1;1.0;44;0;460;0;110;1.0
51846;1;2;1;1.0;44;0;560;72;0;1.0
51847;1;1;1;1.0;41;390;450;10;100;1.0
51847;1;2;1;1.0;41;150;540;0;96;1.0
51848;1;1;2;1.0;51;00:00;10:30;01:10;00:00;2.0
51848;1;2;2;1.0;51;00:00;08:40;00:41;00:00;2.0
51851;2;1;1;1.0;28;00:00;11:00;00:00;01:30;1.0
51851;2;2;1;1.0;28;07:30;07:50;00:00;02:00;1.0
51854;1;1;1;1.0;31;0;840;10;120;1.0
51854;1;2;1;1.0;31;480;410;0;0;1.0
51855;1;1;2;1.0;40;0;670;30;0;1.0
51855;1;2;2;1.0;40;430;540;72;108;1.0
51857;1;1;1;1.0;59;00:00;?;00:00;00:00;1.0
51857;1;2;1;1.0;59;00:00;08:20;00:00;01:48;1.0
51871;2;1;2;2.0;28;0;540;0;90;1.0
51871;2;2;2;2.0;28;0;550;0;0;1.0
51875;1;1;2;3.0;73;140;505;10;90;2.0
51875;1;2;2;3.0;73;180;485;113;0;2.0
51895;1;1;1;1.0;47;110;490;0;110;2.0
51895;1;2;1;1.0;47;470;550;0;132;2.0
51900;1;1;1;1.0;35;0;480;40;0;2.0
51900;1;2;1;1.0;35;590;470;?;96;2.0
51904;1;1;2;1.0;33;0;480;?;0;1.0
51904;1;2;2;1.0;33;50;510;31;96;1.0
51905;1;1;2;3.0;38;0;505;0;0;1.0
51905;1;2;2;3.0;38;450;435;72;0;1.0
51914;2;1;2;1.0;52;40;590;60;110;1.0
51914;2;2;2;1.0;52;620;150;0;204;1.0
51917;1;1;2;1.0;63;0;440;100;90;1.0
51917;1;2;2;1.0;63;0;400;258;156;1.0
51925;2;1;1;1.0;43;10:00;05:30;00:10;00:00;1.0
51925;2;2;1;1.0;43;00:00;08:30;00:00;00:00;1.0
51926;1;1;1;3.0;59;0;615;30;0;1.0
51926;1;2;1;3.0;59;0;595;113;0;1.0
51930;1;1;1;2.0;79;0;520;0;0;2.0
51930;1;2;1;2.0;79;0;590;0;0;2.0
51934;1;1;1;3.0;65;00:00;10:15;01:10;00:00;2.0
51934;1;2;1;3.0;65;00:00;09:55;00:52;00:00;2.0
51944;1;1;1;1.0;40;340;480;150;0;0.0
51944;1;2;1;1.0;40;110;480;216;108;420.0
51946;2;1;1;3.0;33;390;115;20;0;0.0
51946;2;2;1;3.0;33;620;535;31;0;0.0
51948;2;1;2;2.0;73;0;520;100;0;1.0
51948;2;2;2;2.0;73;0;480;21;0;1.0
51959;1;1;1;2.0;79;0;600;150;0;1.0
51959;1;2;1;2.0;79;0;610;93;144;1.0
51960;2;1;1;1.0;63;0;530;?;110;1.0
51960;2;2;1;1.0;63;0;470;299;0;1.0
51967;1;1;1;3.0;55;420;455;50;0;2.0
51967;1;2;1;3.0;55;0;435;0;0;2.0
51971;1;1;2;3.0;54;0;495;80;130;1.0
51971;1;2;2;3.0;54;680;445;113;0;1.0
51973;1;1;1;2.0;41;0;600;0;0;1.0
51973;1;2;1;2.0;41;0;620;0;108;1.0
51980;1;1;2;2.0;50;0;570;0;0;2.0
51980;1;2;2;2.0;50;460;450;31;0;2.0
51981;2;1;1;1.0;35;0;470;0;140;?
51981;2;2;1;1.0;35;0;730;?;0;?
51983;1;1;2;3.0;66;560;375;20;0;1.0
51983;1;2;2;3.0;66;0;435;31;0;1.0
